profile,size,repeat,order_position,seed,add_total_ms,add_per_record_ms,query_total_ms,query_per_record_ms,verify_total_ms,encrypt_per_record_ms,decrypt_per_record_ms,database_size_bytes
sqlite_aes,1000,25,1,2026,742.1496,0.7421496,29.1301,0.0291301,8.288,0.08293250000000013,0.011414199999999996,507904.0
sqlite,1000,25,2,2026,747.2401,0.7472401,10.129,0.010128999999999999,0.3012,0.0,0.0,401408.0
sqlite_aes_chain,1000,25,3,2026,8532.3461,8.5323461,78.9894,0.0789894,154.9227,nan,nan,1425408.0
sqlite,1000,26,1,2026,804.6985,0.8046985,12.447,0.012447,0.193,0.0,0.0,401408.0
sqlite_aes_chain,1000,26,2,2026,10420.0916,10.4200916,73.404,0.073404,150.3625,nan,nan,1437696.0
sqlite_aes,1000,26,3,2026,1219.4586,1.2194585999999998,51.2722,0.0512722,17.9328,0.1759357999999999,0.02048320000000002,503808.0
sqlite,1000,27,1,2026,921.7328,0.9217328,9.0194,0.009019399999999999,0.2478,0.0,0.0,401408.0
sqlite_aes_chain,1000,27,2,2026,9765.3507,9.7653507,63.1808,0.0631808,134.9574,nan,nan,1421312.0
sqlite_aes,1000,27,3,2026,658.1047,0.6581047,25.4276,0.0254276,8.7523,0.06651220000000002,0.010276600000000023,503808.0
sqlite,1000,28,1,2026,767.0441,0.7670441,18.9975,0.018997499999999997,0.94,0.0,0.0,401408.0
sqlite_aes,1000,28,2,2026,819.8958,0.8198958000000001,27.7902,0.027790199999999998,10.9971,0.09078429999999992,0.010596699999999964,503808.0
sqlite_aes_chain,1000,28,3,2026,13641.2817,13.6412817,84.0484,0.0840484,190.2751,nan,nan,1433600.0
sqlite_aes_chain,1000,29,1,2026,10655.0546,10.6550546,73.3223,0.07332229999999999,152.7334,nan,nan,1433600.0
sqlite,1000,29,2,2026,692.8378,0.6928378000000001,9.8421,0.0098421,0.3915,0.0,0.0,401408.0
sqlite_aes,1000,29,3,2026,752.9519,0.7529519,22.6191,0.0226191,10.7091,0.0883909,0.008840399999999972,503808.0
sqlite,1000,30,1,2026,729.0933,0.7290932999999999,9.6407,0.0096407,0.2015,0.0,0.0,401408.0
sqlite_aes,1000,30,2,2026,702.5032,0.7025032,20.2608,0.0202608,10.6152,0.0755395999999999,0.007803500000000012,503808.0
sqlite_aes_chain,1000,30,3,2026,8664.329,8.664329,81.7107,0.0817107,153.7437,nan,nan,1433600.0
sqlite,10000,1,1,2026,7497.8709,0.74978709,197.342,0.0197342,1.8614,0.0,0.0,3874816.0
sqlite_aes_chain,10000,1,2,2026,89341.7353,8.93417353,738.3184,0.07383184,1829.6433,nan,nan,13852672.0
sqlite_aes,10000,1,3,2026,9878.2925,0.98782925,371.1188,0.03711188,126.185,0.13450185000000014,0.0159797499999999,4861952.0
sqlite,10000,2,1,2026,6982.5588,0.6982558799999999,178.4574,0.017845740000000002,4.1486,0.0,0.0,3874816.0
sqlite_aes,10000,2,2,2026,8390.3362,0.8390336199999999,279.0591,0.02790591,93.5966,0.09784543000000005,0.011862239999999974,4870144.0
sqlite_aes_chain,10000,2,3,2026,96619.5175,9.66195175,721.9037,0.07219036999999999,1651.1503,nan,nan,13803520.0
sqlite,10000,3,1,2026,6105.2622,0.61052622,81.2093,0.00812093,1.6678,0.0,0.0,3874816.0
sqlite_aes_chain,10000,3,2,2026,92735.8147,9.27358147,753.6006,0.07536005999999999,1665.2957,nan,nan,13844480.0
sqlite_aes,10000,3,3,2026,7440.6479,0.74406479,339.5015,0.033950150000000005,119.4209,0.07757896999999983,0.013432449999999855,4870144.0
sqlite_aes_chain,10000,4,1,2026,94254.3901,9.42543901,736.8752,0.07368751999999999,1606.389,nan,nan,13869056.0
sqlite_aes,10000,4,2,2026,6975.3383,0.69753383,279.198,0.027919799999999998,93.155,0.07214418000000013,0.012449509999999908,4870144.0
sqlite,10000,4,3,2026,6117.5427,0.61175427,89.4784,0.008947839999999999,3.6213,0.0,0.0,3874816.0
sqlite_aes,10000,5,1,2026,7534.4663,0.75344663,328.827,0.0328827,128.5365,0.07826373999999989,0.014210309999999749,4870144.0
sqlite_aes_chain,10000,5,2,2026,97818.671,9.7818671,895.5913,0.08955913,1694.3616,nan,nan,13803520.0
sqlite,10000,5,3,2026,7162.8844,0.71628844,99.0882,0.00990882,1.8134,0.0,0.0,3874816.0
sqlite_aes,10000,6,1,2026,8182.4258,0.81824258,288.4695,0.02884695,101.2318,0.09817257000000015,0.012464189999999821,4874240.0
sqlite,10000,6,2,2026,7732.9529,0.77329529,89.8654,0.00898654,1.7221,0.0,0.0,3874816.0
sqlite_aes_chain,10000,6,3,2026,102682.8819,10.26828819,1257.5246,0.12575245999999998,2513.9844,nan,nan,13824000.0
sqlite_aes_chain,10000,7,1,2026,88092.6074,8.80926074,591.5841,0.05915841,1729.6726,nan,nan,13840384.0
sqlite_aes,10000,7,2,2026,6278.3292,0.62783292,199.5599,0.01995599,82.5564,0.05234118999999987,0.00769392000000012,4870144.0
sqlite,10000,7,3,2026,5843.3691,0.58433691,91.3667,0.00913667,1.7244,0.0,0.0,3874816.0
sqlite_aes,10000,8,1,2026,6044.6753,0.60446753,201.3999,0.02013999,80.9028,0.05022854000000017,0.007693980000000022,4870144.0
sqlite_aes_chain,10000,8,2,2026,75261.5109,7.526151089999999,579.0399,0.057903989999999995,1307.4778,nan,nan,13860864.0
sqlite,10000,8,3,2026,5984.2819,0.59842819,82.3416,0.00823416,2.0809,0.0,0.0,3874816.0
sqlite,10000,9,1,2026,6003.0705,0.60030705,73.8853,0.00738853,1.8405,0.0,0.0,3874816.0
sqlite_aes_chain,10000,9,2,2026,75820.171,7.5820171,593.3382,0.05933382,1278.9198,nan,nan,13799424.0
sqlite_aes,10000,9,3,2026,6444.0449,0.64440449,208.976,0.0208976,86.0768,0.057744260000000165,0.008731310000000356,4874240.0
sqlite_aes_chain,10000,10,1,2026,75973.242,7.5973242,723.5882,0.07235882,2055.8671,nan,nan,13819904.0
sqlite,10000,10,2,2026,5861.2785,0.58612785,98.5647,0.00985647,1.6138,0.0,0.0,3874816.0
sqlite_aes,10000,10,3,2026,6913.6495,0.6913649500000001,200.1463,0.02001463,80.7884,0.061271250000000416,0.007647540000000205,4874240.0
